feature	s__Rothia_aeria	s__Rothia_dentocariosa	s__Rothia_mucilaginosa	s__Porphyromonas_sp_oral_taxon_279	s__Prevotella_intermedia	s__Prevotella_loescheii	s__Prevotella_melaninogenica	s__Prevotella_nanceiensis	s__Prevotella_veroralis	s__Capnocytophaga_gingivalis	s__Capnocytophaga_unclassified	s__Gemella_haemolysans	s__Gemella_sanguinis	s__Gemella_unclassified	s__Staphylococcus_aureus	s__Abiotrophia_defectiva	s__Granulicatella_adiacens	s__Granulicatella_unclassified	s__Streptococcus_anginosus	s__Streptococcus_australis	s__Streptococcus_infantis	s__Streptococcus_mitis_oralis_pneumoniae	s__Streptococcus_parasanguinis	s__Streptococcus_salivarius	s__Streptococcus_sanguinis	s__Oribacterium_sinus	s__Peptostreptococcus_unclassified	s__Solobacterium_moorei	s__Veillonella_atypica	s__Veillonella_parvula	s__Veillonella_unclassified	s__Fusobacterium_nucleatum	s__Neisseria_meningitidis	s__Neisseria_sicca	s__Neisseria_subflava	s__Neisseria_unclassified	s__Haemophilus_influenzae	s__Haemophilus_parainfluenzae	s__Pseudomonas_aeruginosa	s__Pseudomonas_unclassified	s__Stenotrophomonas_maltophilia	s__Stenotrophomonas_unclassified	s__Murine_osteosarcoma_virus
C11	0	0	2.7314375555855e-05	0	0	0	0	0	0	0	0.000282548705383643	0	0	0	0.989758810061735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00929779342868152	0.000633533428643495	0
C12	0.00420585012071943	0	0.00157028849358517	0.0353978735638499	0.000534823881488644	0.000893950436872877	0.000845626042026556	0.00843469247982889	0	0.00229535788741616	0.0123911887231413	0	0.00356247438807073	0	0.898389973593516	0.000765051472093323	0.000207133616646543	0.00122571012443888	0	0.0012903122101808	0.00369625666011897	0.0108881474400686	0.000771155606179174	0	0.00170986969301496	0	0.000137953430340232	0.000102447717074199	0	0.00354640016831132	0	7.83363874350876e-05	0	0	0	0	0	0	0	0	0.00705912586358237	0	0
D01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.967417528660503	0	0.0325824713394975
D02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177861421067335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.822138578932665	0	0
D03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000416900041690004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98811779881178	0.0114653011465301	0
D04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9031602	0.0837336	0.0131062
D05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3790603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6114226	0.0095171	0
D06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1669981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8009109	0.032091	0
D07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00829213537699437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.940038099559402	0	0.0516697650636032
D08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
D09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.340488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091635	0.567877	0	0	0
D10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216099390225776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.783900609774224	0	0	0	0
D11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137231646585631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0392088559649824	0	0.638789604676336	0.000918149260095981	0.0980977305141907	0.0857540129987638	0	0	0	0
D12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0501598	0.9498402	0	0	0
E01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.936966242831609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108377972478853	0.0521959599205058	0	0	0
E02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8910506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0290311	0.0138701	0.0660482	0	0	0
E03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7728242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0087143	0	0	0.2184615	0	0	0	0
E04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9987588	0.0006992	0	0	0	0	0
E05	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E06	0	0.0083876	0	0	0	0	0.9916124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E07	0.132364312615551	0.000683374520794499	0.0416585325511524	0.0482662636062805	0	0	0	0.00145869991261947	0	0.0200263556224421	0.0153500281293493	0.0338397704383935	0	0.00440308650237386	0.00249214064892287	0.0032969556100369	0.00127588634654705	0.00839375430509626	0	0	0.00315549273152849	0.0383217496999355	0	0.0494343117123646	0.269732820149537	0.0120086749389805	0	0	0.00195523461618401	0.0292082757960279	0.00760341208462962	0	0.00338760066988114	0.0790584883712073	0.00201921936430935	0.184604921384726	0.00102538823398831	0	0	0	0	0	0.00497524943714097
E08	0	0.00777707965654348	0	0.0686046343662033	0	0.181224099409094	0.170303117910969	0	0	0.00514541416819117	0	0	0	0	0.344500768815543	0	0	0	0.070580842216963	0	0	0	0	0	0.105513312561808	0	0.00991505174765311	0.00173289558297568	0	0.00346650829684588	0.000397495410106157	0.0253769060698881	0	0	0	0	0	0	0.000959111347787072	0.00450276243942933	0	0	0
