feature	s__Rothia_aeria	s__Rothia_dentocariosa	s__Rothia_mucilaginosa	s__Porphyromonas_sp_oral_taxon_279	s__Prevotella_intermedia	s__Prevotella_loescheii	s__Prevotella_melaninogenica	s__Prevotella_nanceiensis	s__Prevotella_veroralis	s__Capnocytophaga_gingivalis	s__Capnocytophaga_unclassified	s__Gemella_haemolysans	s__Gemella_sanguinis	s__Gemella_unclassified	s__Staphylococcus_aureus	s__Abiotrophia_defectiva	s__Granulicatella_adiacens	s__Granulicatella_unclassified	s__Streptococcus_anginosus	s__Streptococcus_australis	s__Streptococcus_infantis	s__Streptococcus_mitis_oralis_pneumoniae	s__Streptococcus_parasanguinis	s__Streptococcus_salivarius	s__Streptococcus_sanguinis	s__Oribacterium_sinus	s__Peptostreptococcus_unclassified	s__Solobacterium_moorei	s__Veillonella_atypica	s__Veillonella_parvula	s__Veillonella_unclassified	s__Fusobacterium_nucleatum	s__Neisseria_meningitidis	s__Neisseria_sicca	s__Neisseria_subflava	s__Neisseria_unclassified	s__Haemophilus_influenzae	s__Haemophilus_parainfluenzae	s__Pseudomonas_aeruginosa	s__Pseudomonas_unclassified	s__Stenotrophomonas_maltophilia	s__Stenotrophomonas_unclassified	s__Murine_osteosarcoma_virus
C11	-9.26571225792489	-11.5150359207912	-15.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-11.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-0.014851090827689	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-6.74889591115274	-10.6242916337969	-9.57997508879244
C12	-7.89338684542158	-11.5150359207912	-9.31475464909335	-4.82019349305492	-10.868648492024	-10.1275175329953	-10.2076925726916	-6.88944881436067	-12.5340656685426	-8.76706517148207	-6.33454159368301	-12.447919915534	-8.13290464252153	-15.4365128966866	-0.15458626813686	-10.3521555650308	-12.2371506655201	-9.6721664569239	-13.9565107041177	-9.59806409530676	-8.07971934678671	-6.52109768166886	-10.3406903785374	-7.59152305118976	-9.19189790130781	-12.0784062624924	-12.8235310484595	-13.252824543589	-14.8457694824721	-8.1394289485763	-14.0649076742347	-13.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-7.14629474002594	-11.6242916337969	-9.57997508879244
D01	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-16.952641157656	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-0.0477894166420636	-11.6242916337969	-4.93976015515565
D02	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-2.49117447731543	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-0.282546501116399	-11.6242916337969	-9.57997508879244
D03	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-16.952641157656	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-11.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-0.0172450514266162	-6.44658194066502	-9.57997508879244
D04	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-16.952641157656	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-0.146946183320038	-3.5780495368161	-6.2536067373071
D05	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-1.39950072778081	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-0.709758215372114	-6.71526225451005	-9.57997508879244
D06	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-2.58209640617708	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-0.320286340740316	-4.9616874430792	-9.57997508879244
D07	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-6.9140406146542	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	-0.0892088647656901	-11.6242916337969	-4.27453586576316
D08	-9.26571225792489	-11.5150359207912	-16.1599800330143	-5.91159705994495	-11.868648492024	-12.9732405684172	-12.9587758889878	-11.2842843089228	-12.5340656685426	-10.5397736578412	-12.7892128006629	-12.447919915534	-9.13290464252153	-15.4365128966866	-16.952641157656	-11.5855338476843	-13.2371506655201	-12.8888783975116	-13.9565107041177	-10.5980640953068	-11.4906825431208	-10.060664337009	-12.2280108631336	-7.59152305118976	-12.8511715004351	-12.0784062624924	-13.8235310484595	-14.252824543589	-14.8457694824721	-11.8108397868537	-14.0649076742347	-14.6399578760136	-11.6948109198981	-11.5015440599114	-14.0356274675088	-10.4970653787266	-11.263354778187	-11.4820071947109	-11.0260140652705	-8.7949739199066	0	-11.6242916337969	-9.57997508879244
